"variable","N_treated","N_obs_treated","mean_treated","sd_treated","N_control","N_obs_control","mean_control","sd_control","std_diff","balance_ok"
"sales",4,52,278467128559.8461,111388121344.1875,14,182,138160923523.8187,87782372835.5314,1.3991,FALSE
"transactions",4,52,8815959.3846,6222853.7436,14,182,3908117.1538,1912892.6903,1.0661,FALSE
"log_sales",4,52,26.2782,0.3864,14,182,25.4256,0.7363,1.45,FALSE
"log_transactions",4,52,15.801,0.5804,14,182,15.0242,0.6239,1.2892,FALSE
"weekend_share",4,52,0.2195,0.0331,14,182,0.2188,0.0416,0.0175,TRUE
"night_share",4,52,0.0979,0.0261,14,182,0.089,0.0277,0.3307,FALSE
"after_work_share",4,52,0.3435,0.029,14,182,0.3685,0.0362,-0.7618,FALSE
"age20_30_share",4,52,0.4446,0.0462,14,182,0.2803,0.096,2.1817,FALSE
"age50_60_share",4,52,0.276,0.0411,14,182,0.3101,0.0634,-0.6384,FALSE
"male_sales_share",4,52,0.4298,0.0317,14,182,0.4789,0.0601,-1.0225,FALSE
