"domain","spec","outcome","term","coef","se","p_value","ci_low","ci_high","effect","ci_low_effect","ci_high_effect","effect_scale","n_obs","n_units","notes"
"commerce_secondary_corridor","base_two_way_fe","log_sales","did",-0.07985547561531528,0.08089086936775396,0.33920205356046373,-0.2522702823691496,0.09255933113851902,-7.675023115024282,-22.29653090929672,9.697822459655537,"percent",368,16,"Dong and quarter fixed effects."
"commerce_secondary_corridor","base_two_way_fe","log_transactions","did",-0.0949523866092499,0.027882615477856778,0.003913903766230844,-0.15438277469854567,-0.03552199851995412,-9.058376617209573,-14.305605823373401,-3.489849680820012,"percent",368,16,"Dong and quarter fixed effects."
"commerce_secondary_corridor","base_two_way_fe","night_share","did",0.012188618857013377,0.008911849627964047,0.1915534848868338,-0.00680653898260764,0.031183776696634392,1.2188618857013378,-0.6806538982607641,3.118377669663439,"percentage points",368,16,"Dong and quarter fixed effects."
"commerce_secondary_corridor","base_two_way_fe","age20_30_share","did",0.03075334346480256,0.009167537408833838,0.0043442297165070705,0.01121320002084144,0.05029348690876368,3.075334346480256,1.1213200020841438,5.029348690876368,"percentage points",368,16,"Dong and quarter fixed effects."
"commerce_secondary_corridor","plus_covid_diff","log_sales","did",-0.09381336695081498,0.1040420721226863,0.3814737297823326,-0.31557379429581206,0.12794706039418208,-8.954733305727236,-27.06297543093149,13.649283562173098,"percent",368,16,"Adds treated-by-COVID-period level shift."
"commerce_secondary_corridor","plus_covid_diff","log_transactions","did",-0.15356117549513423,0.044798962037786445,0.0037384480421757847,-0.24904790277212377,-0.0580744482181447,-14.235170446518442,-22.04573697626896,-5.642030300529788,"percent",368,16,"Adds treated-by-COVID-period level shift."
"commerce_secondary_corridor","plus_covid_diff","night_share","did",0.0013451063911344562,0.015620407762713322,0.9325162372276777,-0.03194900463615924,0.03463921741842815,0.13451063911344563,-3.194900463615924,3.463921741842815,"percentage points",368,16,"Adds treated-by-COVID-period level shift."
"commerce_secondary_corridor","plus_covid_diff","age20_30_share","did",0.01862215355728999,0.02000335304697996,0.36662056887744543,-0.02401398420436719,0.06125829131894717,1.862215355728999,-2.4013984204367187,6.125829131894717,"percentage points",368,16,"Adds treated-by-COVID-period level shift."
"commerce_secondary_corridor","plus_baseline_x_post","log_sales","did",0.009291791423270707,0.05744897120567698,0.8736691520819425,-0.1131577921459461,0.1317413749924875,0.9335094133198218,-10.699026092488829,14.081323827889825,"percent",368,16,"Adds 2019 baseline sales interacted with post."
"commerce_secondary_corridor","plus_baseline_x_post","log_transactions","did",-0.0732339273938928,0.028979945060943302,0.023229975326090245,-0.13500321812438765,-0.011464636663397948,-7.061660364089873,-12.628690003392462,-1.1399168146252858,"percent",368,16,"Adds 2019 baseline sales interacted with post."
"commerce_secondary_corridor","plus_baseline_x_post","night_share","did",0.00891227084807393,0.007937463233696027,0.2791686900680099,-0.008006031554284889,0.02583057325043275,0.8912270848073931,-0.8006031554284889,2.583057325043275,"percentage points",368,16,"Adds 2019 baseline sales interacted with post."
"commerce_secondary_corridor","plus_baseline_x_post","age20_30_share","did",0.02822104625695146,0.00833516457917604,0.004074949648420184,0.010455063502500757,0.04598702901140216,2.822104625695146,1.0455063502500757,4.598702901140216,"percentage points",368,16,"Adds 2019 baseline sales interacted with post."
"commerce_secondary_corridor","plus_unit_linear_trend","log_sales","did",-0.01720034861985107,0.03902727284485494,0.6656966088178182,-0.10038501158945448,0.06598431434975233,-1.7053267115257786,-9.551088780136174,6.820996146673508,"percent",368,16,"Adds dong-specific linear trends."
"commerce_secondary_corridor","plus_unit_linear_trend","log_transactions","did",0.0461331359248876,0.04504860590812108,0.32203273310445185,-0.049885694666078464,0.14215196651585366,4.721382345726632,-4.866183868780205,15.275181490391155,"percent",368,16,"Adds dong-specific linear trends."
"commerce_secondary_corridor","plus_unit_linear_trend","night_share","did",0.030617943032668044,0.005422873099264003,4.649895332128472e-5,0.019059362629613455,0.04217652343572263,3.0617943032668045,1.9059362629613454,4.217652343572263,"percentage points",368,16,"Adds dong-specific linear trends."
"commerce_secondary_corridor","plus_unit_linear_trend","age20_30_share","did",0.042770576424289664,0.014987027517998769,0.012072337924202755,0.010826483431759341,0.07471466941681998,4.277057642428966,1.0826483431759342,7.471466941681998,"percentage points",368,16,"Adds dong-specific linear trends."
"commerce_secondary_corridor","combined_controls","log_sales","did",0.05061747923887332,0.054827821551372134,0.3705116803540307,-0.06624525609083126,0.1674802145685779,5.192043490836351,-6.409869935257218,18.23218972046865,"percent",368,16,"Combines COVID shift, baseline-post, and unit trends."
"commerce_secondary_corridor","combined_controls","log_transactions","did",0.04927471166150807,0.03856048287593139,0.22072292801256418,-0.03291501204096138,0.1314644353639775,5.050889814938397,-3.2379207789155484,14.049734562810556,"percent",368,16,"Combines COVID shift, baseline-post, and unit trends."
"commerce_secondary_corridor","combined_controls","night_share","did",0.003116800453848444,0.008254185611390916,0.7110153499028844,-0.014476579716516759,0.020710180624213648,0.3116800453848444,-1.447657971651676,2.0710180624213645,"percentage points",368,16,"Combines COVID shift, baseline-post, and unit trends."
"commerce_secondary_corridor","combined_controls","age20_30_share","did",0.013543949106668996,0.004087345800627067,0.004724990211300893,0.004831977757376779,0.02225592045596121,1.3543949106668995,0.48319777573767786,2.2255920455961213,"percentage points",368,16,"Combines COVID shift, baseline-post, and unit trends."
