"window","start_month","end_month","note","outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","n_obs","n_units"
"2021_2022","2021-01-01","2022-12-01","closest two-year window around opening; avoids the 2023 data-level break","log_total_avg_pop","did",0.32730769630300977,0.16387127850980596,0.058908121901958904,-0.01348128323920822,0.6680966758452278,38.722825652368485,-1.3390817727019777,95.05213110466357,NA,NA,NA,484,22
"2021_2022","2021-01-01","2022-12-01","closest two-year window around opening; avoids the 2023 data-level break","log_weekday_avg_pop","did",0.33108054322608327,0.16930093475820182,0.06395157445571652,-0.021000024622410907,0.6831611110745774,39.24719419741227,-2.078105954127185,98.01272514978565,NA,NA,NA,484,22
"2021_2022","2021-01-01","2022-12-01","closest two-year window around opening; avoids the 2023 data-level break","log_weekend_avg_pop","did",0.31928871642190715,0.1518346425244969,0.04771109503051015,0.0035312917186852144,0.6350461411251291,37.61485842508889,0.3537534074983917,88.71092127922576,NA,NA,NA,484,22
"2020_2022","2020-01-01","2022-12-01","three-year pre/opening window; avoids the 2023 data-level break","log_total_avg_pop","did",0.3865745416800227,0.19454742660621951,0.06011785149684653,-0.01800898014641361,0.791158063506459,47.19301131206335,-1.7847787551969474,120.5949577317643,NA,NA,NA,748,22
"2020_2022","2020-01-01","2022-12-01","three-year pre/opening window; avoids the 2023 data-level break","log_weekday_avg_pop","did",0.39144596634385664,0.20074648865960815,0.06465884590701286,-0.026029210753132637,0.8089211434408459,47.9118003195111,-2.569337103734126,124.54841241357717,NA,NA,NA,748,22
"2020_2022","2020-01-01","2022-12-01","three-year pre/opening window; avoids the 2023 data-level break","log_weekend_avg_pop","did",0.37647911887424096,0.18006425592272457,0.04888663217833272,0.0020149993167548064,0.7509432384317272,45.71451122761958,0.2017030792122787,111.89977944306003,NA,NA,NA,748,22
"2021_2023","2021-01-01","2023-12-01","includes 2023 and is more exposed to the data-level break","log_total_avg_pop","did",0.6483824519467899,0.21006244749273628,0.005592731270786718,0.21153367788351418,1.0852312260100656,91.24448542940623,23.557157636363748,196.01241973208232,NA,NA,NA,748,22
"2021_2023","2021-01-01","2023-12-01","includes 2023 and is more exposed to the data-level break","log_weekday_avg_pop","did",0.6548129792215014,0.21313845014997856,0.005780749212466442,0.21156730744580549,1.0980586509971972,92.47825093895786,23.56131287936214,199.83395466744312,NA,NA,NA,748,22
"2021_2023","2021-01-01","2023-12-01","includes 2023 and is more exposed to the data-level break","log_weekend_avg_pop","did",0.6127117260263828,0.20710204775947066,0.007499186825366121,0.18201944023433442,1.0434040118184311,84.54289173937097,19.96375148875904,183.88641126082445,NA,NA,NA,748,22
"full","2018-01-01","2025-06-01","full available API period","log_total_avg_pop","did",0.8482800363512952,0.2882155038183693,0.007764641439037151,0.24890308434545094,1.4476569883571395,133.56262030659957,28.261772131003383,325.3137680708734,NA,NA,NA,1936,22
"full","2018-01-01","2025-06-01","full available API period","log_weekday_avg_pop","did",0.8572498083811213,0.29151118314341085,0.007808984231056393,0.25101911602313787,1.4634805007391047,135.6670477731448,28.533465458334884,332.09725349008903,NA,NA,NA,1936,22
"full","2018-01-01","2025-06-01","full available API period","log_weekend_avg_pop","did",0.8043574836993526,0.2841691919156509,0.010018037761860827,0.21339529794648793,1.3953196694522172,123.52598464456025,23.787388354514437,303.62646369296345,NA,NA,NA,1936,22
