"treated_group","treated_dong_code","treated_dong_name","outcome","term","coef","se","p_value","ci_low","ci_high","pct_effect_if_log","ci_low_pct_if_log","ci_high_pct_if_log","effect_pp_if_share","ci_low_pp_if_share","ci_high_pp_if_share","n_obs","n_units"
"anchor",11680510,"신사동","log_sales","did",-0.17958527745395866,0.049678258157475244,0.0028136809660810023,-0.2861345442290556,-0.07303601067886172,-16.438331135902562,-24.883845530316563,-7.043264492843537,NA,NA,NA,345,15
"anchor",11680510,"신사동","log_transactions","did",-0.30336021992715,0.0277306558214269,3.038155370687785e-8,-0.3628365613801768,-0.24388387847412324,-26.166691382824148,-30.42998715234241,-21.64213806749814,NA,NA,NA,345,15
"anchor",11680510,"신사동","log_avg_ticket","did",0.1237735629769011,0.03637111193212431,0.004286604555858036,0.04576528628011248,0.20178183967368973,13.175956971439051,4.682867706662841,22.358104215230345,NA,NA,NA,345,15
"anchor",11680510,"신사동","weekend_share","did",-0.01573678632810238,0.0038386144566111293,0.0010829767860222141,-0.023969795514690764,-0.007503777141513996,NA,NA,NA,-1.5736786328102381,-2.3969795514690766,-0.7503777141513996,345,15
"anchor",11680510,"신사동","night_share","did",0.027700119736343128,0.002330030358515739,1.0545231540561697e-8,0.022702701640954222,0.03269753783173203,NA,NA,NA,2.770011973634313,2.270270164095422,3.269753783173203,345,15
"anchor",11680510,"신사동","night_tx_share","did",0.034772597884434896,0.0028455031498691562,7.403716263289155e-9,0.02866960060816735,0.04087559516070244,NA,NA,NA,3.4772597884434897,2.866960060816735,4.087559516070244,345,15
"anchor",11680640,"역삼1동","log_sales","did",-0.06308891650251018,0.049678258157475175,0.2248047700338926,-0.169638183277607,0.04346035027258663,-6.114001016900062,-15.60298761355703,4.441858257894493,NA,NA,NA,345,15
"anchor",11680640,"역삼1동","log_transactions","did",0.043356586376181935,0.027730655821426857,0.14025437921129374,-0.01611975507684474,0.10283292782920861,4.431021525974388,-1.59905271310129,10.83062264798491,NA,NA,NA,345,15
"anchor",11680640,"역삼1동","log_avg_ticket","did",-0.10644205494454383,0.036371111932124264,0.01104662440666674,-0.18445033164133234,-0.02843377824775531,-10.097285917050748,-16.843875884430737,-2.8033342649835924,NA,NA,NA,345,15
"anchor",11680640,"역삼1동","weekend_share","did",0.005701898368613414,0.0038386144566111224,0.15960391740273666,-0.0025311108179749556,0.013934907555201784,NA,NA,NA,0.5701898368613414,-0.2531110817974956,1.3934907555201783,345,15
"anchor",11680640,"역삼1동","night_share","did",0.004230870534729816,0.0023300303585157356,0.09087332288652,-7.665475606590819e-4,0.009228288630118715,NA,NA,NA,0.42308705347298164,-0.07665475606590819,0.9228288630118715,345,15
"anchor",11680640,"역삼1동","night_tx_share","did",-0.014668101077599908,0.0028455031498691523,1.4619159821733545e-4,-0.020771098353867444,-0.008565103801332371,NA,NA,NA,-1.4668101077599909,-2.0771098353867443,-0.8565103801332371,345,15
"secondary",11680521,"논현1동","log_sales","did",-0.16471461886479724,0.04967825815747524,0.005101171699375132,-0.2712638856398942,-0.058165352089700306,-15.186428851374977,-23.75847205867774,-5.650607415435216,NA,NA,NA,345,15
"secondary",11680521,"논현1동","log_transactions","did",-0.08976837997963173,0.027730655821426902,0.0059631731682265685,-0.1492447214326585,-0.03029203852660496,-8.585710545191706,-13.864170373220318,-2.9837832556335875,NA,NA,NA,345,15
"secondary",11680521,"논현1동","log_avg_ticket","did",-0.07494392328044823,0.03637111193212432,0.05843674422883307,-0.15295219997723686,0.0030643534163404124,-7.220448740143059,-14.182925858800877,0.30690533467936376,NA,NA,NA,345,15
"secondary",11680521,"논현1동","weekend_share","did",-0.03129442893469891,0.003838614456611127,1.098413576513086e-6,-0.039527438121287284,-0.023061419748110528,NA,NA,NA,-3.1294428934698906,-3.9527438121287286,-2.306141974811053,345,15
"secondary",11680521,"논현1동","night_share","did",0.02359586856477287,0.002330030358515739,7.989236412083635e-8,0.018598450469383965,0.028593286660161775,NA,NA,NA,2.359586856477287,1.8598450469383965,2.8593286660161774,345,15
"secondary",11680521,"논현1동","night_tx_share","did",0.003727101906997724,0.0028455031498691562,0.21134286148186332,-0.002375895369269822,0.00983009918326527,NA,NA,NA,0.3727101906997724,-0.2375895369269822,0.983009918326527,345,15
"secondary",11650531,"서초4동","log_sales","did",0.00500366763416567,0.0496782581574753,0.9211997789590698,-0.1015455991409314,0.11155293440926274,0.5016206884419061,-9.656001768412336,11.801292379286243,NA,NA,NA,345,15
"secondary",11650531,"서초4동","log_transactions","did",-0.1001363932388698,0.027730655821426916,0.002835709683423736,-0.1596127346918966,-0.040660051785843,-9.528598725412207,-14.752614139867193,-3.984452238606917,NA,NA,NA,345,15
"secondary",11650531,"서초4동","log_avg_ticket","did",0.10513737227520564,0.03637111193212435,0.011858335203058673,0.027129095578416945,0.18314564897199434,11.08632016800135,2.750043996548812,20.098931820235432,NA,NA,NA,345,15
"secondary",11650531,"서초4동","weekend_share","did",0.007814009507558688,0.0038386144566111315,0.06117092219054829,-4.18999679029702e-4,0.016047018694147076,NA,NA,NA,0.7814009507558688,-0.0418999679029702,1.6047018694147077,345,15
"secondary",11650531,"서초4동","night_share","did",7.813691492540697e-4,0.0023300303585157417,0.7423353159571768,-0.0042160489461348415,0.005778787244642981,NA,NA,NA,0.07813691492540698,-0.42160489461348416,0.5778787244642981,345,15
"secondary",11650531,"서초4동","night_tx_share","did",0.007415512224261592,0.0028455031498691593,0.020731889633305862,0.001312514947994039,0.013518509500529144,NA,NA,NA,0.7415512224261592,0.1312514947994039,1.3518509500529143,345,15
